n r res t
4 100 2 1938
5 100 4 2915
6 100 3 3522
7 100 5 5354
8 100 4 5236
9 100 4 6363
10 100 5 8962
11 100 6 8710
12 100 4 9742
13 100 4 15776
14 100 4 14286
15 100 4 22530
16 100 6 16693
17 100 6 25988
18 100 6 25551
19 100 8 29759
20 100 6 34196
21 100 8 39610
22 100 6 39195
23 100 7 38331
24 100 6 29763
25 100 7 47594
26 100 5 44835
27 100 5 45671
28 100 8 53645
29 100 7 47469
30 100 7 56286
1 1 0 971
2 1 0 805
3 1 0 918
4 1 0 1541
5 1 0 1496
6 1 0 2595
7 1 0 2102
8 1 1 2534
9 1 0 2387
10 1 0 2634
11 1 0 2591
12 1 0 2730
13 1 0 2975
14 1 0 3459
15 1 0 4305
16 1 1 3730
17 1 0 4011
18 1 0 4567
19 1 0 4429
20 1 1 5334
21 1 1 6233
22 1 0 5556
23 1 0 5159
24 1 1 6746
25 1 0 5739
26 1 0 6021
27 1 0 6074
28 1 0 6497
29 1 0 7450
30 1 1 8273
1 10 0 700
2 10 1 860
3 10 1 1085
4 10 1 1348
5 10 0 1475
6 10 2 1974
7 10 4 3201
8 10 2 2650
9 10 1 2694
10 10 2 2945
11 10 2 4814
12 10 2 4437
13 10 1 4298
14 10 1 3533
15 10 3 5501
16 10 4 8964
17 10 3 7545
18 10 3 7653
19 10 3 10331
20 10 2 5902
21 10 2 9537
22 10 1 7833
23 10 2 10216
24 10 2 9679
25 10 4 12528
26 10 4 11506
27 10 2 9246
28 10 5 15392
29 10 2 11097
30 10 3 14127
1 20 1 949
2 20 1 1026
3 20 2 1303
4 20 2 1458
5 20 1 1924
6 20 4 3158
7 20 3 3628
8 20 3 3388
9 20 3 3610
10 20 4 6060
11 20 2 5232
12 20 2 7113
13 20 2 5128
14 20 3 8347
15 20 3 6905
16 20 4 10149
17 20 5 14088
18 20 3 11641
19 20 3 10493
20 20 5 14404
21 20 2 9103
22 20 5 19270
23 20 3 19319
24 20 4 16661
25 20 6 19800
26 20 4 20885
27 20 5 20102
28 20 5 21477
29 20 5 22099
30 20 6 29031
1 50 1 946
2 50 2 1017
3 50 3 1561
4 50 3 2004
5 50 4 2475
6 50 2 3255
7 50 3 4604
8 50 5 8047
9 50 4 6561
10 50 6 11609
11 50 5 11602
12 50 3 9934
13 50 5 16076
14 50 5 19319
15 50 5 16047
16 50 4 16628
17 50 5 23113
18 50 5 22693
19 50 6 24046
20 50 5 26428
21 50 6 26806
22 50 6 35793
23 50 5 28594
24 50 9 36005
25 50 8 41389
26 50 8 41029
27 50 6 39770
28 50 8 53305
29 50 7 55687
30 50 8 64280
1 75 1 1132
2 75 2 1106
3 75 2 1473
4 75 3 1852
5 75 3 2545
6 75 3 3154
7 75 2 3574
8 75 4 5325
9 75 5 6580
10 75 5 9918
11 75 6 10443
12 75 5 12808
13 75 5 13475
14 75 6 20147
15 75 6 20630
16 75 5 17839
17 75 5 21829
18 75 6 26693
19 75 5 27730
20 75 4 24377
21 75 5 28952
22 75 7 37432
23 75 8 42491
24 75 7 45725
25 75 8 39922
26 75 8 47592
27 75 9 50864
28 75 5 50744
29 75 6 47375
30 75 9 62575
1 100 1 1328
2 100 1 1123
3 100 2 1352
4 100 2 1786
5 100 3 2579
6 100 3 3914
7 100 4 4840
8 100 4 6742
9 100 3 6352
10 100 5 11340
11 100 4 10801
12 100 6 13349
13 100 6 17480
14 100 6 19425
15 100 5 17164
16 100 7 22394
17 100 6 21319
18 100 6 24783
19 100 4 23942
20 100 7 32476
21 100 7 32330
22 100 6 33695
23 100 7 34285
24 100 7 38190
25 100 7 44894
26 100 8 160531
27 100 7 44570
28 100 8 53989
29 100 9 58321
30 100 6 50834
1 1 0 681
2 1 0 885
3 1 0 1069
4 1 0 1291
5 1 0 1454
6 1 0 1659
7 1 0 2091
8 1 0 2272
9 1 0 2438
10 1 0 2556
11 1 0 2849
12 1 1 3250
13 1 1 3636
14 1 1 3992
15 1 1 3808
16 1 1 4370
17 1 1 4689
18 1 1 4846
19 1 0 4352
20 1 0 4405
21 1 0 4693
22 1 1 6402
23 1 0 7540
24 1 0 5734
25 1 0 5788
26 1 1 6719
27 1 1 6287
28 1 1 7814
29 1 1 7542
30 1 0 7049
1 10 1 759
2 10 2 1009
3 10 1 1178
4 10 2 1517
5 10 2 1601
6 10 1 2165
7 10 1 2379
8 10 2 3449
9 10 2 3200
10 10 1 3020
11 10 2 4271
12 10 1 3106
13 10 2 4568
14 10 3 5184
15 10 1 4524
16 10 2 5806
17 10 2 6506
18 10 2 6714
19 10 4 8305
20 10 1 5830
21 10 5 11697
22 10 2 8888
23 10 2 8471
24 10 2 10907
25 10 4 13839
26 10 6 12467
27 10 4 16317
28 10 3 9943
29 10 2 10486
30 10 4 16413
1 20 0 903
2 20 1 1029
3 20 2 1465
4 20 1 1509
5 20 2 2090
6 20 2 2712
7 20 2 3059
8 20 2 3119
9 20 1 3152
10 20 2 3763
11 20 3 7036
12 20 3 6462
13 20 4 6288
14 20 5 10340
15 20 2 7795
16 20 4 11204
17 20 3 8706
18 20 3 9081
19 20 5 13295
20 20 3 11571
21 20 4 12571
22 20 3 10732
23 20 7 22945
24 20 3 13075
25 20 7 23992
26 20 4 16070
27 20 4 20678
28 20 5 23055
29 20 5 24958
30 20 7 32556
1 50 1 980
2 50 1 881
3 50 2 1315
4 50 3 1872
5 50 2 2399
6 50 2 2895
7 50 3 3949
8 50 4 4656
9 50 4 8211
10 50 7 10333
11 50 4 9649
12 50 3 10994
13 50 4 15000
14 50 5 18089
15 50 5 19783
16 50 4 16165
17 50 6 27332
18 50 6 26441
19 50 5 20698
20 50 6 28195
21 50 7 33916
22 50 6 35552
23 50 9 39814
24 50 7 43792
25 50 9 50577
26 50 7 44359
27 50 7 44326
28 50 6 47094
29 50 9 56824
30 50 7 53006
1 75 1 1062
2 75 1 1135
3 75 1 1449
4 75 2 1947
5 75 2 2454
6 75 3 3657
7 75 4 4419
8 75 3 5434
9 75 3 6466
10 75 5 9814
11 75 5 9799
12 75 6 13442
13 75 5 15316
14 75 5 16656
15 75 6 20270
16 75 5 22502
17 75 9 29808
18 75 6 28404
19 75 5 24935
20 75 7 28551
21 75 7 43576
22 75 7 32264
23 75 6 42189
24 75 5 36132
25 75 7 43328
26 75 7 44110
27 75 7 56329
28 75 8 48421
29 75 8 56363
30 75 9 57224
1 100 1 879
2 100 1 1237
3 100 2 1603
4 100 3 2029
5 100 3 2518
6 100 4 4011
7 100 4 4581
8 100 5 6409
9 100 4 7167
10 100 4 8359
11 100 4 8674
12 100 5 15265
13 100 4 12889
14 100 6 13394
15 100 7 25425
16 100 4 18101
17 100 4 20036
18 100 6 23355
19 100 5 25529
20 100 5 24514
21 100 6 33611
22 100 7 45671
23 100 7 43988
24 100 6 36527
25 100 5 44370
26 100 5 36183
27 100 6 60470
28 100 8 55899
29 100 7 57094
30 100 12 74161
1 1 1 751
2 1 0 963
3 1 0 1041
4 1 0 1314
5 1 0 1433
6 1 1 1878
7 1 0 2212
8 1 1 2263
9 1 0 2518
10 1 0 2467
11 1 0 2849
12 1 1 3333
13 1 1 3732
14 1 1 3845
15 1 0 3599
16 1 1 4240
17 1 1 4647
18 1 0 4454
19 1 0 4488
20 1 0 4737
21 1 1 5726
22 1 1 5657
23 1 1 6071
24 1 1 6176
25 1 0 5799
26 1 1 6617
27 1 0 6314
28 1 0 6638
29 1 0 6646
30 1 1 8138
1 10 0 763
2 10 0 800
3 10 2 1276
4 10 1 1423
5 10 1 1462
6 10 2 2230
7 10 1 2444
8 10 1 2635
9 10 2 2589
10 10 1 2801
11 10 1 3123
12 10 3 5198
13 10 2 5801
14 10 2 4108
15 10 2 6199
16 10 2 5132
17 10 3 7217
18 10 2 7126
19 10 3 9248
20 10 1 6065
21 10 3 7472
22 10 2 7971
23 10 3 10380
24 10 3 8466
25 10 4 13980
26 10 2 12399
27 10 6 15306
28 10 4 16579
29 10 7 18734
30 10 3 12736
1 20 0 856
2 20 1 898
3 20 1 1188
4 20 1 1394
5 20 2 1847
6 20 2 2930
7 20 1 2873
8 20 2 2752
9 20 3 3575
10 20 3 4271
11 20 4 5494
12 20 3 7393
13 20 5 9552
14 20 2 7471
15 20 5 10621
16 20 4 10222
17 20 3 8943
18 20 3 10249
19 20 3 10766
20 20 2 10707
21 20 3 11547
22 20 4 16807
23 20 4 15020
24 20 3 12166
25 20 3 19604
26 20 6 23920
27 20 5 19642
28 20 7 25599
29 20 5 25429
30 20 5 22088
1 50 1 730
2 50 1 965
3 50 2 1318
4 50 2 1761
5 50 2 2246
6 50 3 3120
7 50 3 4190
8 50 5 6684
9 50 3 7415
10 50 4 9353
11 50 3 8915
12 50 6 14939
13 50 4 10860
14 50 5 13423
15 50 6 16631
16 50 7 26688
17 50 5 18484
18 50 6 19509
19 50 6 24800
20 50 5 24017
21 50 9 36153
22 50 5 26303
23 50 6 36099
24 50 7 39493
25 50 7 37297
26 50 7 39212
27 50 9 56230
28 50 7 48708
29 50 7 57660
30 50 7 51988
1 75 1 875
2 75 2 1009
3 75 2 1503
4 75 2 1887
5 75 2 2295
6 75 4 4370
7 75 5 5008
8 75 4 6545
9 75 3 6307
10 75 4 8485
11 75 5 11979
12 75 4 15138
13 75 5 14328
14 75 5 14492
15 75 6 19633
16 75 6 18368
17 75 4 17018
18 75 5 26304
19 75 7 34825
20 75 5 34225
21 75 7 28450
22 75 9 44023
23 75 9 49586
24 75 5 30433
25 75 7 37665
26 75 6 40422
27 75 7 55317
28 75 7 58525
29 75 7 50770
30 75 9 62797
1 100 1 849
2 100 2 1078
3 100 3 1615
4 100 3 1755
5 100 4 3005
6 100 4 3939
7 100 4 4591
8 100 4 6121
9 100 5 7025
10 100 3 9084
11 100 5 11104
12 100 4 11079
13 100 5 13828
14 100 6 14571
15 100 7 27871
16 100 5 17048
17 100 5 21366
18 100 7 26841
19 100 6 23059
20 100 7 35785
21 100 5 37193
22 100 6 42392
23 100 5 44622
24 100 7 44875
25 100 8 50425
26 100 5 37635
27 100 7 55366
28 100 5 42190
29 100 10 59917
30 100 6 62572
1 1 0 613
2 1 0 801
3 1 0 1000
4 1 0 1267
5 1 0 1518
6 1 1 1720
7 1 1 2326
8 1 1 2424
9 1 0 2298
10 1 0 2541
11 1 0 2785
12 1 0 2973
13 1 1 3692
14 1 1 3619
15 1 1 3956
16 1 1 4344
17 1 0 4017
18 1 1 4590
19 1 1 4437
20 1 0 4842
21 1 1 5597
22 1 0 4993
23 1 0 5447
24 1 0 5675
25 1 1 5835
26 1 0 6256
27 1 1 6898
28 1 1 7459
29 1 1 6827
30 1 0 6724
1 10 0 632
2 10 1 884
3 10 1 1009
4 10 1 1315
5 10 1 1530
6 10 2 2288
7 10 0 1835
8 10 1 2443
9 10 3 4476
10 10 1 2931
11 10 2 3693
12 10 4 6471
13 10 3 6589
14 10 3 5371
15 10 3 5939
16 10 1 4818
17 10 5 10136
18 10 3 8747
19 10 2 7072
20 10 2 8119
21 10 2 8089
22 10 3 11694
23 10 1 8479
24 10 3 13599
25 10 2 10422
26 10 4 12641
27 10 2 9852
28 10 3 11513
29 10 3 11633
30 10 3 11441
1 20 0 779
2 20 1 978
3 20 1 1140
4 20 2 1675
5 20 3 2627
6 20 3 2979
7 20 3 3845
8 20 3 4305
9 20 1 3180
10 20 1 3478
11 20 3 6401
12 20 3 7739
13 20 3 5217
14 20 3 7158
15 20 4 10065
16 20 4 11188
17 20 3 8708
18 20 3 11865
19 20 3 9949
20 20 3 11068
21 20 2 10709
22 20 4 16743
23 20 6 19514
24 20 4 20574
25 20 3 15855
26 20 8 28045
27 20 5 23655
28 20 3 16835
29 20 3 19096
30 20 5 25505
1 50 1 653
2 50 1 990
3 50 2 1408
4 50 2 1636
5 50 3 2473
6 50 4 2789
7 50 4 4003
8 50 6 6963
9 50 4 6719
10 50 4 7633
11 50 3 8455
12 50 4 10998
13 50 5 17742
14 50 4 14436
15 50 5 14619
16 50 7 20609
17 50 7 22290
18 50 6 21117
19 50 6 26884
20 50 5 28307
21 50 6 27116
22 50 6 27368
23 50 5 29216
24 50 5 31387
25 50 8 45418
26 50 7 52589
27 50 8 52661
28 50 7 38258
29 50 7 46802
30 50 7 52518
1 75 1 901
2 75 2 1362
3 75 1 1771
4 75 2 2301
5 75 3 2825
6 75 3 4712
7 75 3 4843
8 75 6 7484
9 75 5 6529
10 75 4 6127
11 75 5 8533
12 75 6 13722
13 75 6 14658
14 75 5 16322
15 75 5 19505
16 75 6 23066
17 75 6 24349
18 75 5 29174
19 75 7 31201
20 75 7 32989
21 75 7 30642
22 75 5 31866
23 75 8 42770
24 75 6 30574
25 75 10 52252
26 75 8 47432
27 75 6 48697
28 75 6 44648
29 75 9 55618
30 75 5 40455
1 100 1 971
2 100 2 1055
3 100 2 1471
4 100 3 2043
5 100 4 2794
6 100 3 3748
7 100 3 4945
8 100 4 5920
9 100 4 6867
10 100 5 11147
11 100 3 7906
12 100 5 13567
13 100 6 16929
14 100 5 14701
15 100 6 20391
16 100 5 20817
17 100 6 17731
18 100 6 22177
19 100 5 25116
20 100 6 28305
21 100 5 27348
22 100 7 28482
23 100 7 36655
24 100 6 36551
25 100 7 39336
26 100 8 50900
27 100 5 40873
28 100 8 51097
29 100 7 57751
30 100 6 52557
1 1 0 763
2 1 1 868
3 1 0 977
4 1 0 1212
5 1 0 1369
6 1 1 1784
7 1 0 2069
8 1 0 2286
9 1 0 2348
10 1 1 2925
11 1 0 2757
12 1 0 3066
