n r res t
25 100 7 119106
26 100 6 136622
27 100 7 750706
28 100 7 828278
29 100 7 543103
30 100 9 1170932
1 1000 1 59
2 1000 2 120
3 1000 3 256
4 1000 3 438
5 1000 4 787
6 1000 4 1292
7 1000 4 1725
8 1000 4 2759
9 1000 5 3521
10 1000 3 4296
11 1000 5 10048
12 1000 4 7041
13 1000 5 12505
14 1000 6 15890
15 1000 7 43630
16 1000 5 21283
17 1000 5 21371
18 1000 7 112670
19 1000 6 47750
20 1000 7 218997
21 1000 5 80717
22 1000 6 177593
23 1000 5 153388
24 1000 7 210302
25 1000 8 575609
26 1000 5 72332
27 1000 7 258785
28 1000 5 161655
29 1000 10 1796507
30 1000 6 525247
1 10 1 75
2 10 2 132
3 10 0 129
4 10 2 310
5 10 1 223
6 10 1 215
7 10 2 373
8 10 2 524
9 10 1 305
10 10 2 667
11 10 3 1113
12 10 2 910
13 10 2 1660
14 10 3 1777
15 10 3 3751
16 10 3 3278
17 10 2 1439
18 10 4 3693
19 10 3 2082
20 10 3 5072
21 10 4 3143
22 10 3 6572
23 10 1 1469
24 10 4 8211
25 10 3 5681
26 10 1 1831
27 10 3 9062
28 10 4 16020
29 10 4 8062
30 10 3 4386
1 20 0 55
2 20 1 117
3 20 2 219
4 20 2 198
5 20 2 402
6 20 3 590
7 20 1 356
8 20 2 720
9 20 4 2445
10 20 2 1784
11 20 3 2406
12 20 5 3913
13 20 4 6542
14 20 5 4740
15 20 4 4908
16 20 3 4548
17 20 7 22583
18 20 3 7842
19 20 3 5226
20 20 4 9961
21 20 3 7966
22 20 5 26368
23 20 2 9503
24 20 5 29923
25 20 4 12353
26 20 5 41282
27 20 4 27508
28 20 4 33568
29 20 5 29685
30 20 4 18687
1 50 1 45
2 50 2 135
3 50 2 241
4 50 3 488
5 50 3 747
6 50 4 1184
7 50 5 2159
8 50 3 1747
9 50 3 2627
10 50 2 2941
11 50 5 6504
12 50 5 10555
13 50 4 6795
14 50 5 21348
15 50 6 22686
16 50 6 27828
17 50 5 23740
18 50 5 62785
19 50 5 48163
20 50 4 28921
21 50 4 50395
22 50 6 120165
23 50 6 83777
24 50 6 134303
25 50 6 152261
26 50 9 381565
27 50 9 1043634
28 50 6 200469
29 50 5 150626
30 50 7 647726
1 75 1 63
2 75 2 125
3 75 2 203
4 75 2 422
5 75 3 721
6 75 4 1195
7 75 4 1788
8 75 6 4655
9 75 4 3517
10 75 4 2934
11 75 3 5083
12 75 4 7957
13 75 6 34756
14 75 5 17829
15 75 5 19355
16 75 7 46337
17 75 7 69014
18 75 6 36558
19 75 6 71274
20 75 5 56533
21 75 6 59455
22 75 6 85259
23 75 5 63419
24 75 6 123195
25 75 9 1260364
26 75 7 495123
27 75 8 392893
28 75 8 366886
29 75 7 353541
30 75 7 622104
1 100 1 57
2 100 2 125
3 100 1 178
4 100 2 321
5 100 3 557
6 100 3 940
7 100 3 1426
8 100 6 3611
9 100 5 4028
10 100 4 3505
11 100 5 9723
12 100 6 13780
13 100 6 37075
14 100 5 15356
15 100 5 26710
16 100 6 46909
