n r res t
26 10 4 9353
27 10 2 5037
28 10 3 4566
29 10 3 10001
30 10 3 3564
1 20 0 80
2 20 1 176
3 20 1 249
4 20 2 478
5 20 3 767
6 20 3 865
7 20 3 1806
8 20 3 1271
9 20 1 608
10 20 1 621
11 20 3 2897
12 20 3 2785
13 20 3 1751
14 20 3 4401
15 20 4 5378
16 20 4 5855
17 20 3 3248
18 20 3 7450
19 20 3 4077
20 20 3 4649
21 20 2 4657
22 20 4 13666
23 20 6 29396
24 20 4 24629
25 20 3 9350
26 20 8 122529
27 20 5 109390
28 20 3 13378
29 20 3 15409
30 20 5 55582
1 50 1 76
2 50 1 178
3 50 2 325
4 50 2 470
5 50 3 1061
6 50 4 1568
7 50 4 2469
8 50 6 6326
9 50 4 3515
10 50 4 2869
11 50 3 3463
12 50 4 7331
13 50 5 23556
14 50 4 13486
15 50 5 17198
16 50 7 44748
17 50 7 64474
18 50 6 34567
19 50 6 66425
20 50 5 53673
21 50 6 52391
22 50 6 75271
23 50 5 58547
24 50 5 70751
25 50 8 685770
26 50 7 359373
27 50 8 339509
28 50 7 209725
29 50 7 318564
30 50 7 604421
1 75 1 72
2 75 2 137
3 75 1 210
4 75 2 387
5 75 3 557
6 75 3 897
7 75 3 1426
8 75 6 3653
9 75 5 3985
10 75 4 3542
11 75 5 9838
12 75 6 13758
13 75 6 36899
14 75 5 15513
15 75 5 26417
16 75 6 46111
17 75 6 70093
18 75 5 45794
19 75 7 91827
20 75 7 100650
21 75 7 138645
22 75 5 71109
23 75 8 339636
24 75 6 74040
25 75 10 975397
26 75 8 413055
27 75 6 232075
28 75 6 182133
29 75 9 1133319
30 75 5 93949
1 100 1 44
2 100 2 111
3 100 2 209
4 100 3 483
5 100 4 1032
6 100 3 1072
7 100 3 1546
8 100 4 2953
9 100 4 3008
10 100 5 5632
11 100 3 3563
12 100 5 10962
13 100 6 24563
14 100 5 9222
15 100 6 32215
16 100 5 23749
17 100 6 30664
18 100 6 86294
19 100 5 40976
20 100 6 59101
21 100 5 57223
22 100 7 85949
23 100 7 202729
24 100 6 104370
25 100 7 247898
26 100 8 623454
27 100 5 123153
28 100 8 335983
29 100 7 564334
30 100 6 361996
1 1 0 65
2 1 1 128
3 1 0 109
4 1 0 132
5 1 0 149
6 1 1 250
7 1 0 181
8 1 0 200
9 1 0 241
10 1 1 418
11 1 0 278
12 1 0 289
13 1 0 310
14 1 0 346
15 1 1 376
16 1 0 369
17 1 0 398
18 1 0 431
19 1 1 518
20 1 0 459
21 1 1 834
22 1 1 739
23 1 0 544
24 1 0 523
25 1 0 539
26 1 0 558
27 1 1 858
28 1 1 732
29 1 0 654
30 1 1 996
1 10 1 56
2 10 0 70
3 10 0 99
4 10 1 226
5 10 1 225
6 10 1 485
7 10 0 186
8 10 2 641
9 10 3 953
10 10 2 764
11 10 2 1221
12 10 2 1892
13 10 1 1032
14 10 1 1278
15 10 2 1923
16 10 1 1065
17 10 2 2081
18 10 2 2120
19 10 4 4644
20 10 3 5390
21 10 3 6608
22 10 2 3251
23 10 2 2087
24 10 5 17670
