n r res t
2 100 2 859
3 100 2 1166
4 100 2 1535
5 100 2 2301
6 100 5 2592
7 100 2 2989
8 100 4 3958
9 100 3 4718
10 100 4 6276
11 100 4 9041
12 100 6 9307
13 100 3 7884
14 100 5 10260
15 100 5 12360
16 100 6 14723
17 100 6 14578
18 100 8 21966
19 100 6 19875
20 100 6 22924
21 100 6 21963
22 100 6 29977
23 100 8 34069
24 100 6 36186
25 100 6 28062
26 100 8 30854
27 100 7 38662
28 100 7 38796
29 100 8 37815
30 100 11 56378
1 1000 1 2530
2 1000 1 2650
3 1000 2 3113
4 1000 2 3615
5 1000 4 4415
6 1000 3 5377
7 1000 5 7675
8 1000 4 7102
9 1000 4 7912
10 1000 5 10640
11 1000 6 10780
12 1000 4 11538
13 1000 4 17621
14 1000 4 15150
15 1000 4 25584
16 1000 6 18249
17 1000 6 26226
18 1000 6 28626
19 1000 8 31395
20 1000 6 35319
21 1000 8 38872
22 1000 6 41627
23 1000 7 39569
24 1000 6 29773
25 1000 7 46231
26 1000 5 64545
27 1000 5 59979
28 1000 8 69617
29 1000 7 63150
30 1000 7 80338
1 10 0 754
2 10 0 877
3 10 1 1151
4 10 1 1464
5 10 2 1792
6 10 1 1968
7 10 2 9442
8 10 2 2814
9 10 2 4241
10 10 2 2762
11 10 2 4742
12 10 2 3881
13 10 2 3142
14 10 2 3258
15 10 2 3943
16 10 3 4176
17 10 3 4575
18 10 2 5605
19 10 2 5596
20 10 4 9279
21 10 4 7348
22 10 3 8892
23 10 2 6496
24 10 4 9095
25 10 2 7472
26 10 3 14024
27 10 2 16681
28 10 2 8152
29 10 4 10427
30 10 3 11100
1 20 0 517
2 20 1 653
3 20 2 965
4 20 2 1053
5 20 1 1220
6 20 3 1823
7 20 4 2579
8 20 2 2141
9 20 2 2423
10 20 2 2801
11 20 4 4128
12 20 2 4374
13 20 2 3992
14 20 2 4041
15 20 4 5639
16 20 5 9589
17 20 4 9766
18 20 4 7518
19 20 4 10588
20 20 3 6931
21 20 3 10526
22 20 2 7662
23 20 3 11030
24 20 3 11523
25 20 5 13225
26 20 5 12641
27 20 4 12477
28 20 7 16392
29 20 4 14830
30 20 5 17457
1 50 1 575
2 50 2 784
3 50 2 1127
4 50 3 1564
5 50 3 2067
6 50 5 2355
7 50 4 4131
8 50 5 5032
9 50 4 5761
10 50 6 9597
11 50 4 8337
12 50 4 6665
13 50 4 9653
14 50 5 12235
15 50 5 11300
16 50 5 13380
17 50 7 16471
18 50 5 18797
19 50 4 25046
20 50 7 21873
21 50 4 16851
22 50 7 24797
23 50 6 26282
24 50 6 26660
25 50 8 25878
26 50 7 30260
27 50 7 30114
28 50 7 30476
29 50 7 31749
30 50 7 35113
1 75 1 721
2 75 2 1091
3 75 3 1428
4 75 3 1438
5 75 4 2039
6 75 3 2531
7 75 3 3636
8 75 5 5868
9 75 4 5601
10 75 6 6995
11 75 5 8608
12 75 3 7244
13 75 5 11122
14 75 5 13605
15 75 5 13381
16 75 5 12821
17 75 6 17197
18 75 5 16279
19 75 6 19067
20 75 5 18679
21 75 6 14823
22 75 6 24514
23 75 5 22990
24 75 9 25670
25 75 9 31711
26 75 9 30808
27 75 7 42008
28 75 8 52871
29 75 7 45048
30 75 8 45887
1 100 1 704
2 100 2 956
3 100 2 1129
4 100 3 1728
5 100 3 1827
6 100 3 2750
7 100 2 2658
8 100 4 4330
9 100 5 5189
10 100 5 7308
11 100 6 7361
12 100 5 9615
13 100 5 9314
14 100 6 15421
15 100 6 14615
16 100 5 12337
17 100 5 14997
18 100 6 18618
19 100 5 19335
20 100 4 16862
