n r res t
26 20 5 29700
27 20 4 25271
28 20 7 116830
29 20 4 57207
30 20 5 132266
1 50 1 245
2 50 2 356
3 50 2 423
4 50 3 670
5 50 3 646
6 50 5 1185
7 50 4 1712
8 50 5 1464
9 50 4 3346
10 50 6 3690
11 50 4 7817
12 50 4 5648
13 50 4 10615
14 50 5 23139
15 50 5 27686
16 50 5 33514
17 50 7 59002
18 50 5 60864
19 50 4 55331
20 50 7 161002
21 50 4 61798
22 50 7 284023
23 50 6 213600
24 50 6 123218
25 50 8 272166
26 50 7 97915
27 50 7 175592
28 50 7 274837
29 50 7 210310
30 50 7 350685
1 75 1 78
2 75 2 127
3 75 3 286
4 75 3 244
5 75 4 414
6 75 3 972
7 75 3 1305
8 75 5 1076
9 75 4 2497
10 75 6 3994
11 75 5 3112
12 75 3 3506
13 75 5 14499
14 75 5 17825
15 75 5 15834
16 75 5 11614
17 75 6 35791
18 75 5 23118
19 75 6 22132
20 75 5 35073
21 75 6 33435
22 75 6 72252
23 75 5 95131
24 75 9 67730
25 75 9 112842
26 75 9 407406
27 75 7 129085
28 75 8 530277
29 75 7 449500
30 75 8 1695228
1 100 1 174
2 100 2 280
3 100 2 336
4 100 3 387
5 100 3 655
6 100 3 1359
7 100 2 1540
8 100 4 1952
9 100 5 2309
10 100 5 5345
11 100 6 5232
12 100 5 16057
13 100 5 11123
14 100 6 32548
15 100 6 29914
16 100 5 20596
17 100 5 51717
18 100 6 26940
19 100 5 88991
20 100 4 43806
21 100 5 57969
22 100 7 257720
23 100 8 145964
24 100 7 216713
25 100 8 181145
26 100 8 304418
27 100 9 787081
28 100 5 318920
29 100 6 531399
30 100 9 1134919
1 1000 1 157
2 1000 1 177
3 1000 2 226
4 1000 2 526
5 1000 3 637
6 1000 3 964
7 1000 4 1856
8 1000 4 2362
9 1000 3 2636
10 1000 5 7651
11 1000 4 11675
12 1000 6 10188
13 1000 6 18880
14 1000 6 17216
15 1000 5 17277
16 1000 7 34524
17 1000 6 32047
18 1000 6 82319
19 1000 4 33866
20 1000 7 76673
21 1000 7 164029
22 1000 6 90355
23 1000 7 84261
24 1000 7 167535
25 1000 7 206386
26 1000 8 169844
27 1000 7 260084
28 1000 8 365590
29 1000 9 463017
30 1000 6 448234
1 10 0 107
2 10 1 200
3 10 1 300
4 10 1 326
5 10 1 255
6 10 1 313
7 10 2 721
8 10 1 445
9 10 1 445
10 10 1 524
11 10 1 769
12 10 2 1660
13 10 2 1697
14 10 3 2201
15 10 3 1392
16 10 3 6715
17 10 1 1291
18 10 3 3140
19 10 3 4671
20 10 1 3781
21 10 1 3042
22 10 3 11882
23 10 3 6819
24 10 3 5988
25 10 3 3443
26 10 3 7040
27 10 4 9159
28 10 4 14251
29 10 4 20090
30 10 2 7476
1 20 1 111
2 20 2 188
3 20 1 332
4 20 2 431
5 20 2 344
6 20 2 692
7 20 2 543
8 20 3 1438
9 20 3 1481
10 20 2 1567
11 20 3 1901
12 20 1 2700
13 20 2 2342
14 20 4 4908
15 20 2 5217
16 20 3 4424
17 20 3 7432
18 20 3 8004
19 20 5 17192
20 20 2 4601
21 20 7 57248
22 20 3 17155
23 20 4 14118
24 20 3 23885
25 20 6 63277
26 20 7 28310
27 20 6 60048
28 20 4 17119
29 20 3 16279
30 20 6 74606
1 50 1 108
2 50 2 211
3 50 3 327
4 50 2 440
5 50 3 716
6 50 2 1023
7 50 3 1174
8 50 3 1448
9 50 3 3338
10 50 4 2813
11 50 4 5837
12 50 4 6230
13 50 5 4809
14 50 8 9513
15 50 4 10080
16 50 5 28323
17 50 5 27575
18 50 5 24560
19 50 5 59629
20 50 5 63467
21 50 6 53531
22 50 5 61837
23 50 8 293162
24 50 6 87168
25 50 9 431931
26 50 5 74933
27 50 6 223693
28 50 7 577464
29 50 8 629705
30 50 10 1440581
1 75 1 107
2 75 2 212
3 75 2 289
4 75 3 356
5 75 2 665
6 75 3 919
7 75 4 1340
8 75 4 1014
9 75 5 3278
10 75 8 2344
11 75 4 6761
12 75 4 7216
13 75 4 9406
14 75 5 15380
15 75 6 16774
16 75 4 11008
17 75 7 29569
18 75 6 37770
19 75 5 11572
20 75 6 49052
21 75 7 73293
22 75 6 119844
23 75 9 68889
24 75 8 270718
25 75 9 209008
26 75 7 362424
27 75 7 1046777
28 75 6 431630
29 75 9 1295762
30 75 7 1383167
1 100 1 263
2 100 1 406
3 100 1 448
4 100 2 874
5 100 2 1057
6 100 3 1884
7 100 4 1440
8 100 3 2699
9 100 3 3723
10 100 5 7314
11 100 5 7290
12 100 6 8936
13 100 5 22853
14 100 5 36268
15 100 6 39331
16 100 5 39822
17 100 9 73876
18 100 6 89720
19 100 5 67903
20 100 7 90900
21 100 7 270280
22 100 7 98970
23 100 6 222929
24 100 5 183295
25 100 7 190132
26 100 7 541013
27 100 7 1038154
28 100 8 367126
29 100 8 525895
30 100 9 564225
1 1000 1 74
2 1000 1 127
3 1000 2 151
4 1000 3 200
5 1000 3 514
6 1000 4 1324
7 1000 4 1538
8 1000 5 767
9 1000 4 1163
10 1000 4 3002
11 1000 4 3115
12 1000 5 12980
13 1000 4 6880
14 1000 6 4912
15 1000 7 18107
16 1000 4 14603
17 1000 4 21831
18 1000 6 27024
19 1000 5 20620
20 1000 5 25148
21 1000 6 93307
22 1000 7 238837
23 1000 7 104154
24 1000 6 71366
25 1000 5 164457
26 1000 5 74484
27 1000 6 301808
28 1000 8 602315
29 1000 7 369848
30 1000 12 2413606
1 10 1 119
2 10 1 177
3 10 1 194
4 10 2 320
5 10 0 242
6 10 2 488
7 10 1 352
8 10 2 651
9 10 3 532
10 10 2 727
11 10 1 845
12 10 1 1002
13 10 2 2097
14 10 2 2686
15 10 1 1513
16 10 2 1685
17 10 2 2209
18 10 2 4517
19 10 3 8609
20 10 2 4839
21 10 4 9719
22 10 4 6077
23 10 4 6824
24 10 4 21518
25 10 2 6168
26 10 5 24181
27 10 3 27877
28 10 2 8247
29 10 3 15100
30 10 3 28230
1 20 0 110
2 20 1 135
3 20 2 454
4 20 2 222
5 20 1 656
6 20 3 678
7 20 2 1438
8 20 2 1429
9 20 2 1717
10 20 1 1791
11 20 2 2996
12 20 4 5755
13 20 3 9141
14 20 3 5032
15 20 3 12016
16 20 3 5782
17 20 5 12836
18 20 3 10653
19 20 5 20884
20 20 2 9867
21 20 4 13245
22 20 3 17926
23 20 5 27503
24 20 4 24996
25 20 5 59642
26 20 4 42789
27 20 7 174428
28 20 6 269885
29 20 8 276529
30 20 5 58121
1 50 1 97
2 50 1 203
3 50 2 444
4 50 2 609
5 50 2 1012
6 50 4 1200
7 50 4 1027
8 50 4 2637
9 50 4 3843
10 50 4 5014
11 50 5 7198
12 50 5 21134
13 50 7 21736
14 50 4 16741
15 50 6 48724
16 50 6 22763
17 50 4 27860
18 50 5 37984
19 50 5 98233
20 50 4 89976
21 50 5 81112
22 50 6 336237
23 50 6 176280
24 50 5 123300
25 50 5 77763
26 50 9 715962
27 50 7 849606
28 50 8 864868
29 50 6 604066
30 50 6 303258
1 75 1 235
2 75 1 386
3 75 2 407
4 75 2 521
5 75 2 716
6 75 3 1008
7 75 3 3360
8 75 6 857
9 75 4 5991
10 75 5 4190
11 75 3 11625
12 75 6 16287
13 75 4 11930
14 75 6 16837
15 75 6 22217
16 75 7 23215
17 75 5 14758
18 75 7 30742
19 75 6 37630
20 75 5 36930
21 75 9 129125
22 75 5 36116
23 75 6 120953
24 75 8 209945
25 75 7 131762
26 75 7 197208
27 75 9 364693
28 75 7 538028
29 75 8 489098
30 75 7 730748
1 100 1 57
2 100 2 129
3 100 2 202
4 100 2 276
5 100 2 668
6 100 4 842
7 100 5 1301
8 100 4 1551
9 100 3 1803
10 100 4 2819
11 100 5 3244
12 100 4 8728
13 100 5 11352
14 100 5 5979
15 100 6 27528
16 100 6 15459
17 100 4 20309
18 100 5 41957
19 100 7 48892
20 100 5 58553
21 100 7 58790
22 100 9 212159
23 100 9 316166
24 100 5 57933
25 100 7 69073
26 100 6 102729
27 100 7 586934
28 100 7 500343
29 100 7 406517
30 100 9 587303
1 1000 1 82
2 1000 2 155
3 1000 3 232
4 1000 3 274
5 1000 4 346
6 1000 4 667
7 1000 4 785
8 1000 4 1484
9 1000 5 1211
10 1000 3 3967
11 1000 5 7520
12 1000 4 8798
