n r res t
27 20 6 2457913007
28 20 4 4920224767
29 20 3 9919757139
30 20 6 19839487215
1 50 1 85
2 50 2 153
3 50 3 232
4 50 2 520
5 50 3 892
6 50 2 1558
7 50 3 2896
8 50 3 5285
9 50 3 10383
10 50 4 19622
11 50 4 39279
12 50 4 77293
13 50 5 151881
14 50 8 304579
15 50 4 600789
16 50 5 1205299
17 50 5 2415148
18 50 5 4926036
19 50 5 9603909
20 50 5 19198911
21 50 6 38566924
22 50 5 76817459
23 50 8 153726215
24 50 6 307545584
25 50 9 617071691
26 50 5 1235497022
27 50 6 2476141357
28 50 7 4927984012
29 50 8 9878238539
30 50 10 19776883656
1 75 1 114
2 75 2 139
3 75 2 241
4 75 3 455
5 75 2 983
6 75 3 3869
7 75 4 5049
8 75 4 9241
9 75 5 11098
10 75 8 25658
11 75 4 43543
12 75 4 80768
13 75 4 156502
14 75 5 308512
15 75 6 609696
16 75 4 1205514
17 75 7 2420067
18 75 6 4834023
19 75 5 9606699
20 75 6 19229056
21 75 7 38412623
22 75 6 77172263
23 75 9 153755578
24 75 8 307935775
25 75 9 620064202
26 75 7 1234932336
27 75 7 2488171560
28 75 6 4983204760
29 75 9 9879312051
30 75 7 19894007087
1 100 1 83
2 100 1 153
3 100 1 296
4 100 2 533
5 100 2 1000
6 100 3 1524
7 100 4 4171
8 100 3 5471
9 100 3 10587
10 100 5 20601
11 100 5 39463
12 100 6 78771
13 100 5 154171
14 100 5 304647
15 100 6 605084
16 100 5 1204099
17 100 9 2442585
18 100 6 5040024
19 100 5 9620501
20 100 7 19245124
21 100 7 40083497
22 100 7 79188507
23 100 6 155997475
24 100 5 319084843
25 100 7 617363211
26 100 7 1254457098
27 100 7 2515019513
28 100 8 4963881889
29 100 8 10027820918
30 100 9 19900127045
1 1000 1 99
2 1000 1 129
3 1000 2 285
4 1000 3 564
5 1000 3 1031
6 1000 4 1731
7 1000 4 2730
8 1000 5 5696
9 1000 4 10447
10 1000 4 20069
11 1000 4 39129
12 1000 5 78642
13 1000 4 152331
