test_set n r res t
3 28 20 5 4956332372
3 29 20 4 10111922679
3 30 20 5 20158722581
3 1 50 1 107
3 2 50 1 169
3 3 50 2 243
3 4 50 2 572
3 5 50 3 939
3 6 50 2 1692
3 7 50 3 2893
3 8 50 4 5633
3 9 50 4 10519
3 10 50 3 20143
3 11 50 5 39400
3 12 50 5 77926
3 13 50 6 152494
3 14 50 4 302904
3 15 50 3 601966
3 16 50 6 1204304
3 17 50 7 2408569
3 18 50 5 4815286
3 19 50 7 9654019
3 20 50 6 19235196
3 21 50 6 38477912
3 22 50 6 76838210
3 23 50 9 154051984
3 24 50 5 310964109
3 25 50 7 617030820
3 26 50 7 1233438987
3 27 50 8 2477899971
3 28 50 6 4927713276
3 29 50 8 9893828618
3 30 50 7 19732464353
3 1 75 1 97
3 2 75 2 172
3 3 75 2 308
3 4 75 3 550
3 5 75 3 1041
3 6 75 3 1480
3 7 75 4 3089
3 8 75 6 5845
3 9 75 4 10700
3 10 75 3 20397
3 11 75 5 39100
3 12 75 7 80559
3 13 75 3 152332
3 14 75 6 308318
3 15 75 4 603274
3 16 75 6 1206534
3 17 75 6 2418011
3 18 75 5 4805957
3 19 75 7 9641053
3 20 75 5 19246568
3 21 75 8 38528460
3 22 75 7 77077618
3 23 75 8 155733935
3 24 75 5 308611094
3 25 75 7 615488645
3 26 75 7 1230827136
3 27 75 8 2471262022
3 28 75 8 4922468866
3 29 75 7 9865313309
3 30 75 7 19687962192
3 1 100 1 109
3 2 100 2 176
3 3 100 2 307
3 4 100 3 438
3 5 100 3 1299
3 6 100 4 1726
3 7 100 3 2971
3 8 100 4 5413
3 9 100 5 10630
3 10 100 3 26159
3 11 100 5 39365
3 12 100 5 78523
3 13 100 4 152020
3 14 100 6 306685
3 15 100 5 602950
3 16 100 6 1207922
3 17 100 5 2417501
3 18 100 7 4816441
3 19 100 6 9617285
3 20 100 6 19244139
3 21 100 6 38452867
3 22 100 6 76823127
3 23 100 6 159541372
3 24 100 10 308220422
3 25 100 7 615333431
3 26 100 6 1230566372
3 27 100 7 2462944888
3 28 100 7 4922852697
3 29 100 9 9848897174
3 30 100 6 19705838379
