n r res t
20 20 20 19278505
10 50 10 18747
11 50 11 37399
12 50 12 74839
13 50 13 149921
14 50 14 303091
15 50 15 602526
16 50 16 1206163
17 50 17 2409447
18 50 18 4818675
19 50 19 9638377
20 50 20 19271558
21 50 21 38549137
22 50 22 77921706
23 50 23 154982307
24 50 24 308549433
25 50 25 617639257
26 50 26 1236787777
27 50 27 2470448184
28 50 28 4940616989
29 50 29 9883711428
30 50 30 19772793997
10 75 10 18780
11 75 11 37526
12 75 12 74880
13 75 13 150042
14 75 14 303172
15 75 15 602691
16 75 16 1204405
17 75 17 2410475
18 75 18 4826230
19 75 19 9640171
20 75 20 19273446
21 75 21 38542928
22 75 22 77118818
23 75 23 154468935
24 75 24 308498058
25 75 25 617417733
26 75 26 1235680016
27 75 27 2469363807
28 75 28 4945001326
29 75 29 9880862782
30 75 30 19800008760
10 100 10 18781
11 100 11 37506
12 100 12 74942
13 100 13 149930
14 100 14 303022
15 100 15 602625
16 100 16 1206042
17 100 17 2412054
18 100 18 4822832
19 100 19 9640789
20 100 20 19783723
21 100 21 38607071
22 100 22 77131366
23 100 23 154253082
24 100 24 308680375
25 100 25 650317019
26 100 26 1237735205
27 100 27 2470130390
28 100 28 4957055650
29 100 29 9898348285
30 100 30 19767166087
10 10 10 18881
10 20 10 18702
11 20 11 37509
12 20 12 74812
13 20 13 149908
14 20 14 302978
15 20 15 604401
16 20 16 1205572
17 20 17 2411441
18 20 18 4819271
19 20 19 9637483
20 20 20 19274197
10 50 10 18835
11 50 11 37463
12 50 12 74947
13 50 13 149909
14 50 14 303084
15 50 15 606725
16 50 16 1207681
17 50 17 2409812
18 50 18 4818499
19 50 19 9636548
20 50 20 19592723
21 50 21 38551480
22 50 22 77091910
23 50 23 154272153
24 50 24 308532243
25 50 25 617691912
26 50 26 1235358804
27 50 27 2471735664
28 50 28 4967665373
29 50 29 9925332170
30 50 30 19862607320
10 75 10 18751
11 75 11 37552
12 75 12 74877
13 75 13 156332
14 75 14 307894
15 75 15 606837
16 75 16 1211012
17 75 17 2416834
18 75 18 4824260
19 75 19 16838839
20 75 20 19808304
21 75 21 38584740
22 75 22 77099543
23 75 23 156628295
24 75 24 309194729
25 75 25 617708603
26 75 26 1242112450
27 75 27 2486194995
28 75 28 4960847542
29 75 29 9963783674
30 75 30 19809500884
10 100 10 18805
11 100 11 37522
12 100 12 74856
13 100 13 149937
14 100 14 303005
15 100 15 602856
16 100 16 1205653
17 100 17 2450898
18 100 18 4906075
19 100 19 9716340
20 100 20 19296899
21 100 21 38559365
22 100 22 77184700
23 100 23 154417812
24 100 24 310800511
25 100 25 657177410
26 100 26 1234329711
27 100 27 2468278694
28 100 28 4939801947
29 100 29 9881867615
30 100 30 19768369643
10 10 10 18793
10 20 10 20761
11 20 11 37483
12 20 12 74796
13 20 13 150063
14 20 14 303217
15 20 15 605570
16 20 16 1205763
17 20 17 2409899
18 20 18 4818590
19 20 19 9637693
20 20 20 19280611
10 50 10 18846
11 50 11 37500
12 50 12 74856
13 50 13 149906
14 50 14 302941
15 50 15 602747
16 50 16 1205890
17 50 17 2411942
18 50 18 4819278
19 50 19 9639372
20 50 20 19273226
21 50 21 38564999
22 50 22 77101575
23 50 23 154281105
24 50 24 308607649
25 50 25 617644577
26 50 26 1233960715
27 50 27 2472677193
28 50 28 4940754942
29 50 29 9878561813
30 50 30 19764170610
10 75 10 18794
11 75 11 37408
12 75 12 74837
13 75 13 149787
14 75 14 303076
15 75 15 604551
16 75 16 1205613
17 75 17 2410143
18 75 18 4829163
19 75 19 9641694
20 75 20 19272484
21 75 21 38545883
22 75 22 77100596
23 75 23 154265870
24 75 24 308768469
25 75 25 618123002
26 75 26 1234629386
27 75 27 2472398203
28 75 28 4940651944
29 75 29 9889247101
30 75 30 19812415168
10 100 10 18799
11 100 11 37506
12 100 12 74821
13 100 13 149904
14 100 14 303081
15 100 15 602423
16 100 16 1205960
17 100 17 2411967
18 100 18 4818623
19 100 19 9636677
20 100 20 19270802
21 100 21 38874783
22 100 22 77097602
23 100 23 155391957
24 100 24 308549630
25 100 25 622772680
26 100 26 1236667749
27 100 27 2474422514
28 100 28 4940980732
29 100 29 9883468951
30 100 30 19760852521
