n r res t
13 20 2 2018
14 20 3 4482
15 20 3 2895
16 20 4 6523
17 20 5 8112
18 20 3 7998
19 20 3 5891
20 20 5 13684
21 20 2 5974
22 20 5 35341
23 20 3 31925
24 20 4 24111
25 20 6 49476
26 20 4 31325
27 20 5 30476
28 20 5 29845
29 20 5 36373
30 20 6 141541
1 50 1 123
2 50 2 227
3 50 3 328
4 50 3 494
5 50 4 788
6 50 2 1395
7 50 3 2122
8 50 5 2981
9 50 4 3669
10 50 6 8746
11 50 5 6510
12 50 3 5075
13 50 5 19299
14 50 5 21308
15 50 5 16159
16 50 4 12713
17 50 5 33238
18 50 5 22835
19 50 6 20254
20 50 5 29537
21 50 6 33666
22 50 6 79251
23 50 5 71678
24 50 9 86356
25 50 8 102530
26 50 8 252223
27 50 6 99960
28 50 8 507379
29 50 7 441020
30 50 8 1257193
1 75 1 194
2 75 2 221
3 75 2 320
4 75 3 384
5 75 3 1014
6 75 3 1190
7 75 2 1411
8 75 4 1823
9 75 5 3672
10 75 5 4613
11 75 6 7585
12 75 5 15346
13 75 5 11124
14 75 6 30977
15 75 6 28517
16 75 5 20164
17 75 5 49854
18 75 6 24576
19 75 5 82453
20 75 4 41753
21 75 5 55208
22 75 7 240662
23 75 8 180375
24 75 7 230390
25 75 8 187603
26 75 8 311191
27 75 9 815406
28 75 5 302657
29 75 6 495496
30 75 9 1313214
1 100 1 135
2 100 1 235
3 100 2 296
4 100 2 583
5 100 3 796
6 100 3 1266
7 100 4 2620
8 100 4 3268
9 100 3 2356
10 100 5 6161
11 100 4 8944
12 100 6 8464
13 100 6 15287
14 100 6 14860
15 100 5 15073
16 100 7 28965
17 100 6 26556
18 100 6 84047
19 100 4 35391
20 100 7 73311
21 100 7 160464
22 100 6 87421
23 100 7 118485
24 100 7 227646
25 100 7 186192
26 100 8 193671
27 100 7 243337
28 100 8 336297
29 100 9 426385
30 100 6 420741
1 1 0 119
2 1 0 181
3 1 0 206
4 1 0 220
5 1 0 367
6 1 0 308
7 1 0 331
8 1 0 362
9 1 0 312
10 1 0 441
11 1 0 455
12 1 1 678
13 1 1 888
14 1 1 1121
15 1 1 601
16 1 1 1190
17 1 1 1122
18 1 1 1599
19 1 0 526
20 1 0 868
21 1 0 966
22 1 1 1034
23 1 0 728
24 1 0 1033
25 1 0 844
26 1 1 1175
27 1 1 1161
28 1 1 2551
29 1 1 1892
30 1 0 1001
1 10 1 90
2 10 2 181
3 10 1 240
4 10 2 325
5 10 2 402
6 10 1 476
7 10 1 437
8 10 2 961
9 10 2 840
10 10 1 849
11 10 2 1773
12 10 1 483
13 10 2 1576
14 10 3 2456
15 10 1 1277
16 10 2 2022
17 10 2 2997
18 10 2 2955
19 10 4 5726
20 10 1 2311
21 10 5 17475
22 10 2 4218
23 10 2 4370
24 10 2 7306
25 10 4 20988
26 10 6 8987
27 10 4 16161
28 10 3 3099
29 10 2 4007
30 10 4 15286
1 20 0 92
2 20 1 187
3 20 2 307
4 20 1 225
5 20 2 662
6 20 2 958
7 20 2 682
8 20 2 567
9 20 1 659
10 20 2 948
11 20 3 2215
12 20 3 2528
13 20 4 1802
14 20 5 8041
15 20 2 2955
16 20 4 5004
17 20 3 2796
18 20 3 3795
19 20 5 17835
20 20 3 6333
21 20 4 7456
22 20 3 7694
23 20 7 62117
24 20 3 11377
25 20 7 82836
26 20 4 15136
27 20 4 82905
28 20 5 54182
29 20 5 94856
30 20 7 227541
1 50 1 105
2 50 1 200
3 50 2 327
4 50 3 445
5 50 2 754
6 50 2 960
7 50 3 1235
8 50 4 1054
9 50 4 3388
10 50 7 5944
11 50 4 7241
12 50 3 9916
13 50 4 14738
14 50 5 23026
15 50 5 27616
16 50 4 15746
17 50 6 37649
18 50 6 46787
19 50 5 13579
20 50 6 72407
21 50 7 112746
22 50 6 208576
23 50 9 103055
24 50 7 317158
25 50 9 175372
26 50 7 166689
27 50 7 557521
28 50 6 290040
29 50 9 927994
30 50 7 740834
1 75 1 296
2 75 1 241
3 75 1 333
4 75 2 715
5 75 2 909
6 75 3 1382
7 75 4 1196
8 75 3 2092
9 75 3 3139
10 75 5 5630
11 75 5 8996
12 75 6 10455
13 75 5 18244
14 75 5 27347
15 75 6 31149
16 75 5 32676
17 75 9 58819
18 75 6 69315
19 75 5 64825
20 75 7 72157
21 75 7 213701
22 75 7 75666
23 75 6 175802
24 75 5 145122
25 75 7 242389
26 75 7 409559
27 75 7 586673
28 75 8 270719
29 75 8 368361
30 75 9 591881
1 100 1 81
2 100 1 151
3 100 2 362
4 100 3 452
5 100 3 845
6 100 4 1373
7 100 4 1704
8 100 5 1296
9 100 4 1555
10 100 4 2468
11 100 4 3599
12 100 5 13324
13 100 4 7096
14 100 6 6197
15 100 7 18891
16 100 4 15060
17 100 4 22060
18 100 6 27440
19 100 5 22978
20 100 5 25422
21 100 6 98404
22 100 7 235405
23 100 7 113233
24 100 6 72554
25 100 5 178699
26 100 5 73398
27 100 6 309518
28 100 8 645024
29 100 7 374051
30 100 12 2588610
1 1 1 105
2 1 0 191
3 1 0 128
4 1 0 264
5 1 0 193
6 1 1 268
7 1 0 427
8 1 1 263
9 1 0 280
10 1 0 332
11 1 0 342
12 1 1 650
13 1 1 611
14 1 1 611
15 1 0 428
16 1 1 650
17 1 1 717
18 1 0 522
19 1 0 513
20 1 0 567
21 1 1 1645
22 1 1 1083
23 1 1 1262
24 1 1 1079
25 1 0 671
26 1 1 976
27 1 0 742
28 1 0 742
29 1 0 775
30 1 1 1154
1 10 0 89
2 10 0 145
3 10 2 338
4 10 1 209
5 10 1 215
6 10 2 419
7 10 1 503
8 10 1 589
9 10 2 655
10 10 1 498
11 10 1 512
12 10 3 1649
13 10 2 2235
14 10 2 1092
15 10 2 3260
16 10 2 1091
17 10 3 3101
18 10 2 1846
19 10 3 4293
20 10 1 1241
21 10 3 1786
22 10 2 2995
23 10 3 4780
24 10 3 4028
25 10 4 8840
26 10 2 6127
27 10 6 21328
28 10 4 25499
29 10 7 37856
30 10 3 6104
1 20 0 101
2 20 1 160
3 20 1 326
4 20 1 232
5 20 2 558
6 20 2 1258
7 20 1 811
8 20 2 1031
9 20 3 1444
10 20 3 2029
11 20 4 2231
12 20 3 3883
13 20 5 6481
14 20 2 3564
15 20 5 4784
16 20 4 3691
17 20 3 4284
18 20 3 4810
19 20 3 6610
20 20 2 5263
21 20 3 5221
22 20 4 22125
23 20 4 13577
24 20 3 6060
25 20 3 28219
26 20 6 73167
27 20 5 87054
28 20 7 55569
29 20 5 196168
30 20 5 29695
1 50 1 77
2 50 1 198
3 50 2 289
4 50 2 327
5 50 2 398
6 50 3 532
7 50 3 1717
8 50 5 640
9 50 3 3463
10 50 4 3173
11 50 3 5789
12 50 6 7723
13 50 4 5349
14 50 5 7148
15 50 6 11215
16 50 7 17193
17 50 5 11566
18 50 6 32547
19 50 6 26829
20 50 5 34191
21 50 9 128669
22 50 5 40673
23 50 6 88419
24 50 7 125987
25 50 7 94716
26 50 7 148699
27 50 9 426926
28 50 7 341672
29 50 7 369212
30 50 7 581051
1 75 1 80
2 75 2 159
3 75 2 350
4 75 2 338
5 75 2 787
6 75 4 874
7 75 5 1848
8 75 4 1671
9 75 3 2199
10 75 4 4419
11 75 5 3912
12 75 4 8856
13 75 5 11682
14 75 5 8765
15 75 6 28440
16 75 6 16391
17 75 4 21152
18 75 5 32347
19 75 7 68127
20 75 5 59759
21 75 7 60512
22 75 9 212668
23 75 9 319379
24 75 5 59285
25 75 7 83640
26 75 6 119016
27 75 7 592700
28 75 7 506616
29 75 7 378671
30 75 9 731263
1 100 1 180
2 100 2 201
3 100 3 234
4 100 3 262
5 100 4 609
6 100 4 1190
7 100 4 1235
8 100 4 2124
9 100 5 1270
10 100 3 4516
11 100 5 7584
12 100 4 6641
13 100 5 10159
14 100 6 10905
15 100 7 23512
16 100 5 17438
17 100 5 18950
18 100 7 59344
19 100 6 40931
20 100 7 129895
21 100 5 96086
22 100 6 154931
23 100 5 135183
24 100 7 134974
25 100 8 238601
26 100 5 51050
27 100 7 212965
28 100 5 142513
29 100 10 441152
30 100 6 409530
1 1 0 93
2 1 0 125
3 1 0 140
4 1 0 162
5 1 0 183
6 1 1 255
7 1 1 315
8 1 1 304
9 1 0 318
10 1 0 297
11 1 0 336
12 1 0 352
13 1 1 665
14 1 1 595
15 1 1 708
16 1 1 677
17 1 0 563
18 1 1 686
19 1 1 509
20 1 0 580
21 1 1 1035
22 1 0 562
23 1 0 707
24 1 0 621
25 1 1 976
26 1 0 892
27 1 1 1059
28 1 1 1251
29 1 1 1004
30 1 0 1003
1 10 0 64
2 10 1 117
3 10 1 185
4 10 1 203
5 10 1 282
6 10 2 384
7 10 0 208
8 10 1 347
9 10 3 1258
10 10 1 597
11 10 2 925
12 10 4 1624
13 10 3 3769
14 10 3 1187
15 10 3 1144
16 10 1 1433
17 10 5 8466
18 10 3 3775
19 10 2 1643
20 10 2 3271
21 10 2 2108
22 10 3 5899
23 10 1 2766
24 10 3 8016
25 10 2 3091
26 10 4 9105
27 10 2 5450
28 10 3 4651
29 10 3 6663
30 10 3 3539
1 20 0 65
2 20 1 151
3 20 1 106
4 20 2 314
5 20 3 418
6 20 3 479
7 20 3 1141
8 20 3 998
9 20 1 529
10 20 1 601
11 20 3 2415
12 20 3 2505
13 20 3 1392
14 20 3 4110
15 20 4 4544
16 20 4 5853
17 20 3 3110
18 20 3 7892
19 20 3 4223
20 20 3 5074
21 20 2 5063
22 20 4 12646
23 20 6 23162
24 20 4 16217
25 20 3 9712
26 20 8 71710
27 20 5 101296
28 20 3 13472
29 20 3 16364
30 20 5 51467
1 50 1 101
2 50 1 167
3 50 2 436
4 50 2 419
5 50 3 396
6 50 4 1131
7 50 4 1561
8 50 6 2105
9 50 4 2930
10 50 4 3033
11 50 3 3974
12 50 4 5361
13 50 5 16391
14 50 4 14789
15 50 5 14144
16 50 7 31093
17 50 7 31616
18 50 6 23125
19 50 6 50660
20 50 5 69227
21 50 6 47482
22 50 6 72948
23 50 5 65070
24 50 5 76019
25 50 8 510347
26 50 7 454371
27 50 8 363892
28 50 7 226472
29 50 7 397114
30 50 7 661827
1 75 1 152
2 75 2 254
3 75 1 331
4 75 2 418
5 75 3 395
6 75 3 928
7 75 3 1609
8 75 6 2416
9 75 5 2562
10 75 4 2729
11 75 5 9738
12 75 6 8986
13 75 6 28307
14 75 5 13220
15 75 5 21885
16 75 6 34412
17 75 6 82692
18 75 5 49378
19 75 7 64546
20 75 7 64589
21 75 7 85591
22 75 5 81967
23 75 8 274376
24 75 6 68174
25 75 10 529937
26 75 8 340565
27 75 6 217889
28 75 6 219846
29 75 9 849500
30 75 5 149020
1 100 1 136
2 100 2 216
3 100 2 367
4 100 3 496
5 100 4 544
6 100 3 1690
7 100 3 2598
8 100 4 2733
9 100 4 3302
10 100 5 6545
11 100 3 5202
12 100 5 12365
13 100 6 13659
14 100 5 8371
15 100 6 29486
16 100 5 21715
17 100 6 23518
18 100 6 89868
19 100 5 47105
20 100 6 54391
21 100 5 61467
22 100 7 72045
23 100 7 196207
24 100 6 114336
25 100 7 218607
26 100 8 417018
27 100 5 169775
28 100 8 293602
29 100 7 571413
30 100 6 440124
1 1 0 137
2 1 1 207
3 1 0 192
4 1 0 213
5 1 0 240
6 1 1 300
7 1 0 306
8 1 0 378
9 1 0 412
10 1 1 759
11 1 0 481
12 1 0 530
13 1 0 551
14 1 0 559
15 1 1 694
16 1 0 758
17 1 0 699
18 1 0 846
19 1 1 840
20 1 0 840
21 1 1 1458
22 1 1 1305
23 1 0 1078
24 1 0 1107
25 1 0 1037
26 1 0 1075
27 1 1 1474
28 1 1 1303
29 1 0 1315
30 1 1 1983
1 10 1 83
2 10 0 127
3 10 0 152
4 10 1 381
5 10 1 417
6 10 1 875
7 10 0 339
8 10 2 862
9 10 3 1556
10 10 2 1129
11 10 2 2094
12 10 2 2618
13 10 1 1818
14 10 1 2330
15 10 2 3231
16 10 1 1806
17 10 2 2998
18 10 2 3765
19 10 4 7267
20 10 3 8483
21 10 3 10279
22 10 2 5141
23 10 2 3250
24 10 5 21228
25 10 3 7065
26 10 2 6036
27 10 3 6475
28 10 3 10331
29 10 6 27641
30 10 3 5559
1 20 1 92
2 20 1 141
3 20 1 177
4 20 2 415
5 20 1 274
6 20 2 655
7 20 1 1046
8 20 2 916
9 20 2 1601
10 20 3 2227
11 20 2 1368
12 20 3 4399
13 20 4 5983
14 20 3 3176
15 20 3 7031
16 20 4 7124
17 20 5 28605
18 20 5 15203
19 20 4 10870
20 20 3 5646
21 20 5 31519
22 20 5 11029
23 20 4 17072
24 20 4 31289
25 20 6 22150
26 20 5 39315
27 20 3 35358
28 20 5 39228
29 20 6 75753
30 20 5 40175
1 50 1 108
2 50 2 183
3 50 3 336
4 50 3 462
5 50 4 424
6 50 3 989
7 50 5 1024
8 50 4 3232
9 50 3 3512
10 50 5 6016
11 50 4 5004
12 50 5 8874
13 50 4 12819
14 50 5 13875
15 50 4 17003
16 50 6 24347
17 50 6 65866
18 50 5 47428
19 50 4 34944
20 50 6 131921
21 50 5 41796
22 50 7 62467
23 50 6 101883
24 50 7 457403
25 50 7 126021
26 50 8 405849
27 50 5 130292
28 50 6 190535
29 50 8 595994
30 50 6 305779
1 75 1 100
2 75 2 194
3 75 1 270
4 75 3 372
5 75 3 845
6 75 5 987
7 75 5 1806
8 75 4 2566
9 75 5 5508
10 75 7 4913
11 75 5 10017
12 75 5 11929
13 75 6 9912
14 75 4 6513
15 75 6 22250
16 75 5 15183
17 75 6 21413
18 75 7 29138
19 75 6 78363
20 75 8 149764
21 75 7 81973
22 75 9 200833
23 75 7 233705
24 75 7 211118
25 75 6 90978
26 75 6 76500
27 75 8 374688
28 75 7 689609
29 75 7 332394
30 75 8 268996
1 100 1 69
2 100 2 175
3 100 1 261
4 100 2 406
5 100 2 662
6 100 4 817
7 100 5 1172
8 100 3 2090
9 100 4 1717
10 100 4 2478
11 100 5 4390
12 100 4 5398
13 100 4 6624
14 100 6 18192
15 100 6 16165
16 100 5 15024
17 100 6 19039
18 100 6 82383
19 100 5 30865
20 100 8 72036
21 100 8 152794
22 100 7 99357
23 100 5 84665
24 100 7 82513
25 100 6 66618
26 100 8 227029
27 100 7 405068
28 100 8 357484
29 100 8 552940
30 100 10 2655032
1 1 0 150
2 1 0 157
3 1 0 222
4 1 0 253
5 1 0 234
6 1 1 480
7 1 0 240
8 1 0 394
9 1 0 263
10 1 0 467
11 1 1 516
12 1 0 543
13 1 0 689
14 1 0 646
15 1 0 436
16 1 0 658
17 1 0 712
18 1 1 596
19 1 1 763
20 1 0 548
21 1 0 853
22 1 0 1566
23 1 0 906
24 1 0 984
25 1 0 865
26 1 1 1024
27 1 0 1036
28 1 1 2975
29 1 0 1258
30 1 0 1556
1 10 1 107
2 10 0 142
3 10 1 238
4 10 1 369
5 10 1 227
6 10 1 594
7 10 0 283
8 10 0 299
9 10 1 608
10 10 2 840
11 10 2 1861
12 10 3 1413
13 10 1 1191
14 10 3 2055
15 10 2 1233
16 10 3 2705
17 10 2 4035
18 10 1 1650
19 10 4 5314
20 10 2 1768
21 10 2 1969
22 10 2 3112
23 10 2 4049
24 10 5 17754
25 10 1 2010
26 10 4 11602
27 10 4 14970
28 10 5 19427
29 10 4 24705
30 10 2 7148
1 20 1 249
2 20 1 383
3 20 2 458
4 20 1 378
5 20 2 1376
6 20 1 577
7 20 3 1247
8 20 3 1591
9 20 4 3010
10 20 2 2052
11 20 4 3703
12 20 3 4756
13 20 3 1801
14 20 5 15950
15 20 4 8787
16 20 3 9865
17 20 3 9495
18 20 3 11675
19 20 2 8085
20 20 4 16105
21 20 3 9740
22 20 3 17678
23 20 5 49416
24 20 6 42563
25 20 4 62228
26 20 5 57546
27 20 6 180943
28 20 4 51402
29 20 7 171968
30 20 5 53250
1 50 1 235
2 50 2 366
3 50 1 449
4 50 3 566
5 50 2 740
6 50 3 1385
7 50 2 2119
8 50 4 3208
9 50 4 6934
10 50 6 8042
11 50 4 8140
12 50 6 12612
13 50 3 15517
14 50 5 17838
15 50 4 23721
16 50 6 35243
17 50 5 56113
18 50 5 55265
19 50 8 76280
20 50 4 37696
21 50 6 55171
22 50 5 189253
23 50 6 240308
24 50 7 211002
25 50 6 201218
26 50 5 268727
27 50 8 360156
28 50 6 334293
29 50 6 464090
30 50 10 1578604
1 75 1 372
2 75 2 380
3 75 2 317
4 75 3 585
5 75 2 1442
6 75 3 1808
7 75 4 1717
8 75 4 3323
9 75 4 2922
10 75 5 10300
11 75 4 8941
12 75 6 8344
13 75 6 39799
14 75 8 24803
15 75 7 68467
16 75 4 37578
17 75 5 34209
18 75 5 58731
19 75 5 85119
20 75 8 127467
21 75 7 151664
22 75 6 123280
23 75 6 85117
24 75 7 168174
25 75 7 399363
26 75 6 872644
27 75 8 677304
28 75 7 527586
29 75 7 296575
30 75 7 251477
1 100 1 72
2 100 2 138
3 100 3 204
4 100 3 287
5 100 3 624
6 100 2 651
7 100 4 980
8 100 4 1349
9 100 4 2915
10 100 6 3577
11 100 5 4036
12 100 3 5934
13 100 5 4456
14 100 6 14263
15 100 7 17616
16 100 5 21382
17 100 6 14087
18 100 5 27985
19 100 4 24027
