n r res t
9 75 5 1630
10 75 8 1293
11 75 4 3876
12 75 4 5389
13 75 4 9414
14 75 5 15853
15 75 6 17612
16 75 4 11236
17 75 7 31812
18 75 6 38390
19 75 5 11785
20 75 6 50224
21 75 7 76791
22 75 6 115058
23 75 9 46248
24 75 8 197025
25 75 9 152774
26 75 7 218827
27 75 7 537469
28 75 6 209681
29 75 9 650678
30 75 7 680110
1 100 1 68
2 100 1 105
3 100 1 210
4 100 2 279
5 100 2 493
6 100 3 777
7 100 4 824
8 100 3 1938
9 100 3 1809
10 100 5 3166
11 100 5 4821
12 100 6 5077
13 100 5 11153
14 100 5 14639
15 100 6 19960
16 100 5 16637
17 100 9 28983
18 100 6 42373
19 100 5 32326
20 100 7 46163
21 100 7 130533
22 100 7 53058
23 100 6 112911
24 100 5 92271
25 100 7 90159
26 100 7 224784
27 100 7 524003
28 100 8 183357
29 100 8 292269
30 100 9 479277
1 1000 1 86
2 1000 1 140
3 1000 2 197
4 1000 3 287
5 1000 3 515
6 1000 4 888
7 1000 4 977
8 1000 5 1407
9 1000 4 1787
10 1000 4 2278
11 1000 4 3206
12 1000 5 13267
13 1000 4 7161
14 1000 6 4813
15 1000 7 20754
16 1000 4 14535
17 1000 4 21765
18 1000 6 28966
19 1000 5 19924
20 1000 5 24915
21 1000 6 90358
22 1000 7 231947
23 1000 7 90313
24 1000 6 71086
25 1000 5 159360
26 1000 5 73537
27 1000 6 302750
28 1000 8 627908
29 1000 7 383608
30 1000 12 2126659
1 10 1 127
2 10 1 204
3 10 1 149
4 10 2 510
5 10 0 293
6 10 2 497
7 10 1 348
8 10 2 489
9 10 3 456
10 10 2 986
11 10 1 1098
12 10 1 780
13 10 2 2065
14 10 2 1778
15 10 1 1632
16 10 2 1672
17 10 2 1427
18 10 2 3487
19 10 3 5646
20 10 2 3735
21 10 4 6831
22 10 4 4427
23 10 4 5463
24 10 4 14699
25 10 2 4539
26 10 5 10824
27 10 3 13448
28 10 2 3451
29 10 3 6746
30 10 3 13263
1 20 0 59
2 20 1 94
3 20 2 170
4 20 2 161
5 20 1 266
6 20 3 281
7 20 2 675
8 20 2 623
9 20 2 712
10 20 1 809
11 20 2 1512
12 20 4 2951
13 20 3 4492
14 20 3 2508
15 20 3 5384
16 20 3 2586
17 20 5 6114
18 20 3 4516
19 20 5 9914
20 20 2 4191
21 20 4 6179
22 20 3 8259
23 20 5 12905
24 20 4 11924
25 20 5 28513
26 20 4 20213
27 20 7 84142
28 20 6 130460
29 20 8 125629
30 20 5 28450
1 50 1 62
2 50 1 101
3 50 2 157
4 50 2 232
5 50 2 365
6 50 4 470
7 50 4 620
8 50 4 971
9 50 4 1965
10 50 4 2472
11 50 5 3426
12 50 5 10284
13 50 7 12308
14 50 4 9202
15 50 6 19163
16 50 6 10579
17 50 4 14169
18 50 5 24062
19 50 5 52828
20 50 4 43990
21 50 5 38962
22 50 6 161943
23 50 6 88173
24 50 5 70999
25 50 5 37684
26 50 9 351526
27 50 7 412872
28 50 8 426184
29 50 6 290728
30 50 6 148080
1 75 1 99
2 75 1 93
3 75 2 344
4 75 2 279
5 75 2 624
6 75 3 902
7 75 3 1636
