n r res t
12 100 12 1567
13 100 13 1648
14 100 14 1796
15 100 15 1941
16 100 16 2132
17 100 17 1510
18 100 18 2351
19 100 19 2479
20 100 20 2606
21 100 21 2743
22 100 22 2867
23 100 23 3012
24 100 24 3140
25 100 25 3279
26 100 26 3409
27 100 27 3567
28 100 28 3622
29 100 29 3757
30 100 30 3908
10 10 10 1283
10 20 10 1295
11 20 11 1389
12 20 12 1535
13 20 13 1676
14 20 14 1794
15 20 15 969
16 20 16 1147
17 20 17 2202
18 20 18 2348
19 20 19 2484
20 20 20 2609
10 50 10 1274
11 50 11 1411
12 50 12 1526
13 50 13 1673
14 50 14 1814
15 50 15 1952
16 50 16 2079
17 50 17 2218
18 50 18 2311
19 50 19 2444
20 50 20 2634
21 50 21 2783
22 50 22 2908
23 50 23 3040
24 50 24 3109
25 50 25 3303
26 50 26 2865
27 50 27 3518
28 50 28 3643
29 50 29 3807
30 50 30 3895
10 75 10 1275
11 75 11 1426
12 75 12 1556
13 75 13 1674
14 75 14 1798
15 75 15 1941
16 75 16 2096
17 75 17 2227
18 75 18 2341
19 75 19 2472
20 75 20 2599
21 75 21 2744
22 75 22 2903
23 75 23 2992
24 75 24 3165
25 75 25 2714
26 75 26 3388
27 75 27 3511
28 75 28 3654
29 75 29 3816
30 75 30 3912
10 100 10 1285
11 100 11 1423
12 100 12 1553
13 100 13 1694
14 100 14 1790
15 100 15 1945
16 100 16 2078
17 100 17 2222
18 100 18 2351
19 100 19 2493
20 100 20 2640
21 100 21 2712
22 100 22 2863
23 100 23 3009
24 100 24 3162
25 100 25 3269
26 100 26 3436
27 100 27 3531
28 100 28 3695
29 100 29 3817
30 100 30 3943
