test_set n r res t
3 9 50 4 5519
3 10 50 3 6253
3 11 50 5 12867
3 12 50 5 12621
3 13 50 6 8457
3 14 50 4 26778
3 15 50 3 30090
3 16 50 6 19425
3 17 50 7 37945
3 18 50 5 91840
3 19 50 7 246092
3 20 50 6 57431
3 21 50 6 130001
3 22 50 6 58051
3 23 50 9 416580
3 24 50 5 255522
3 25 50 7 243085
3 26 50 7 682335
3 27 50 8 415819
3 28 50 6 540417
3 29 50 8 687419
3 30 50 7 772609
3 1 75 1 163
3 2 75 2 214
3 3 75 2 439
3 4 75 3 685
3 5 75 3 696
3 6 75 3 1149
3 7 75 4 2236
3 8 75 6 2350
3 9 75 4 5939
3 10 75 3 6475
3 11 75 5 5446
3 12 75 7 19039
3 13 75 3 12398
3 14 75 6 46782
3 15 75 4 39875
3 16 75 6 41585
3 17 75 6 46268
3 18 75 5 35204
3 19 75 7 91771
3 20 75 5 97298
3 21 75 8 297217
3 22 75 7 344518
3 23 75 8 203461
3 24 75 5 185905
3 25 75 7 396339
3 26 75 7 328761
3 27 75 8 419634
3 28 75 8 1120349
3 29 75 7 530941
3 30 75 7 473326
3 1 100 1 102
3 2 100 2 141
3 3 100 2 350
3 4 100 3 252
3 5 100 3 517
3 6 100 4 1286
3 7 100 3 1942
3 8 100 4 2112
3 9 100 5 3637
3 10 100 3 5103
3 11 100 5 7621
3 12 100 5 14327
3 13 100 4 9913
3 14 100 6 26592
3 15 100 5 22126
3 16 100 6 43658
3 17 100 5 31334
3 18 100 7 62500
3 19 100 6 63360
3 20 100 6 147334
3 21 100 6 109675
3 22 100 6 65633
3 23 100 6 215155
3 24 100 10 552669
3 25 100 7 603302
3 26 100 6 211827
3 27 100 7 242292
3 28 100 7 386763
3 29 100 9 465136
3 30 100 6 582420
