n r res t
25 50 8 110316
26 50 8 243388
27 50 6 101723
28 50 8 501364
29 50 7 563507
30 50 8 908371
1 75 1 105
2 75 2 126
3 75 2 143
4 75 3 288
5 75 3 654
6 75 3 604
7 75 2 934
8 75 4 1481
9 75 5 2669
10 75 5 2452
11 75 6 5648
12 75 5 8585
13 75 5 8151
14 75 6 22272
15 75 6 21650
16 75 5 13745
17 75 5 36745
18 75 6 17643
19 75 5 55560
20 75 4 28668
21 75 5 41183
22 75 7 173040
23 75 8 140919
24 75 7 160269
25 75 8 134823
26 75 8 217694
27 75 9 604011
28 75 5 209741
29 75 6 350294
30 75 9 929281
1 100 1 102
2 100 1 143
3 100 2 190
4 100 2 441
5 100 3 397
6 100 3 1206
7 100 4 1564
8 100 4 1654
9 100 3 1706
10 100 5 3935
11 100 4 6708
12 100 6 6751
13 100 6 12285
14 100 6 11933
15 100 5 10967
16 100 7 20674
17 100 6 19221
18 100 6 61667
19 100 4 31955
20 100 7 56867
21 100 7 98579
22 100 6 63375
23 100 7 80303
24 100 7 118466
25 100 7 145228
26 100 8 144443
27 100 7 177461
28 100 8 258899
29 100 9 329168
30 100 6 320023
1 1 0 69
2 1 0 145
3 1 0 152
4 1 0 266
5 1 0 160
6 1 0 342
7 1 0 350
8 1 0 250
9 1 0 432
10 1 0 468
11 1 0 303
12 1 1 452
13 1 1 803
14 1 1 670
15 1 1 711
16 1 1 720
17 1 1 672
18 1 1 1654
19 1 0 501
20 1 0 518
21 1 0 884
22 1 1 1021
23 1 0 581
24 1 0 1032
25 1 0 695
26 1 1 907
27 1 1 756
28 1 1 1669
29 1 1 1343
30 1 0 772
1 10 1 137
2 10 2 170
3 10 1 259
4 10 2 373
5 10 2 374
6 10 1 419
7 10 1 499
8 10 2 771
9 10 2 480
10 10 1 503
11 10 2 1006
12 10 1 354
13 10 2 1034
14 10 3 1664
15 10 1 883
16 10 2 1285
17 10 2 1750
18 10 2 1710
19 10 4 3347
20 10 1 1208
21 10 5 9558
22 10 2 2576
23 10 2 2668
24 10 2 4933
25 10 4 11561
26 10 6 6044
27 10 4 17269
28 10 3 2270
29 10 2 2960
30 10 4 10755
1 20 0 63
2 20 1 101
3 20 2 139
4 20 1 133
5 20 2 386
6 20 2 701
7 20 2 655
8 20 2 515
9 20 1 605
10 20 2 856
11 20 3 2155
12 20 3 2463
13 20 4 1682
14 20 5 8756
15 20 2 4180
16 20 4 5147
17 20 3 2752
18 20 3 3856
19 20 5 15260
20 20 3 6241
21 20 4 6858
22 20 3 4830
23 20 7 40960
24 20 3 6938
25 20 7 52435
