test_set n r res t
3 2 20 2 913
3 3 20 1 1153
3 4 20 2 1333
3 5 20 2 1343
3 6 20 1 1778
3 7 20 1 1289
3 8 20 2 4616
3 9 20 4 9302
3 10 20 3 12024
3 11 20 3 8887
3 12 20 2 7190
3 13 20 4 24706
3 14 20 3 13766
3 15 20 1 5098
3 16 20 2 7787
3 17 20 4 18500
3 18 20 3 24853
3 19 20 6 104804
3 20 20 4 30087
3 21 20 3 11483
3 22 20 3 31844
3 23 20 4 41459
3 24 20 2 21054
3 25 20 4 56948
3 26 20 7 231767
3 27 20 6 275077
3 28 20 5 65796
3 29 20 4 52029
3 30 20 5 84385
3 1 50 1 205
3 2 50 1 318
3 3 50 2 760
3 4 50 2 1120
3 5 50 3 1832
3 6 50 2 2640
3 7 50 3 4479
3 8 50 4 6774
3 9 50 4 10211
3 10 50 3 9345
3 11 50 5 24353
3 12 50 5 31773
3 13 50 6 36776
3 14 50 4 60420
3 15 50 3 52193
3 16 50 6 54324
3 17 50 7 168964
3 18 50 5 166088
3 19 50 7 829077
3 20 50 6 163796
3 21 50 6 262084
3 22 50 6 146660
3 23 50 9 865957
3 24 50 5 336528
3 25 50 7 381539
3 26 50 7 957932
3 27 50 8 1161958
3 28 50 6 607729
3 29 50 8 1267489
3 30 50 7 868861
3 1 75 1 114
3 2 75 2 218
3 3 75 2 421
3 4 75 3 854
3 5 75 3 1504
3 6 75 3 1320
3 7 75 4 4244
3 8 75 6 7017
3 9 75 4 7782
3 10 75 3 7300
3 11 75 5 12736
3 12 75 7 44133
3 13 75 3 13287
3 14 75 6 49234
3 15 75 4 32125
3 16 75 6 69131
3 17 75 6 68759
3 18 75 5 50146
3 19 75 7 195621
3 20 75 5 125790
3 21 75 8 591716
3 22 75 7 580520
3 23 75 8 322721
3 24 75 5 218127
3 25 75 7 444719
3 26 75 7 413691
3 27 75 8 679550
3 28 75 8 1922353
3 29 75 7 771680
3 30 75 7 630950
3 1 100 1 128
3 2 100 2 173
3 3 100 2 324
3 4 100 3 646
3 5 100 3 993
3 6 100 4 1758
3 7 100 3 2058
3 8 100 4 3986
3 9 100 5 5064
3 10 100 3 5327
3 11 100 5 9938
3 12 100 5 20205
3 13 100 4 9411
3 14 100 6 39167
3 15 100 5 28576
3 16 100 6 63636
3 17 100 5 35154
3 18 100 7 81932
3 19 100 6 94875
3 20 100 6 182669
3 21 100 6 145624
3 22 100 6 77336
3 23 100 6 272121
3 24 100 10 1543839
3 25 100 7 821520
3 26 100 6 238314
3 27 100 7 400548
3 28 100 7 536574
3 29 100 9 1097756
3 30 100 6 670624
