n r res t
13 20 13 157850
14 20 14 315823
15 20 15 630172
16 20 16 1531263
17 20 17 2539932
18 20 18 5135982
19 20 19 11120850
20 20 20 21432446
10 50 10 19694
11 50 11 39570
12 50 12 78842
13 50 13 157710
14 50 14 315640
15 50 15 631439
16 50 16 1274862
17 50 17 2549838
18 50 18 5450317
19 50 19 10760890
20 50 20 22572362
21 50 21 46721507
22 50 22 85647456
23 50 23 167327886
24 50 24 329855458
25 50 25 688838406
26 50 26 1387021701
27 50 27 2709635596
28 50 28 5582513123
29 50 29 11301936883
30 50 30 22148160727
10 75 10 19727
11 75 11 39594
12 75 12 78827
13 75 13 157972
14 75 14 322681
15 75 15 643665
16 75 16 1270522
17 75 17 2645855
18 75 18 5204485
19 75 19 10986588
20 75 20 22676452
21 75 21 43445198
22 75 22 89175082
23 75 23 179513447
24 75 24 353396463
25 75 25 691998458
26 75 26 1430927825
27 75 27 2793155648
28 75 28 5619904131
29 75 29 11109080860
30 75 30 22443626179
10 100 10 34577
11 100 11 70848
12 100 12 136108
13 100 13 261006
14 100 14 413063
15 100 15 881409
16 100 16 1303048
17 100 17 3283676
18 100 18 5453671
19 100 19 10449179
20 100 20 21075584
21 100 21 42446663
22 100 22 91241069
23 100 23 175907227
24 100 24 338420012
25 100 25 687148545
26 100 26 1415476576
27 100 27 2741256837
28 100 28 5676024796
29 100 29 11148701451
30 100 30 22329151889
10 10 10 20211
10 20 10 19882
11 20 11 39594
12 20 12 79310
13 20 13 157942
14 20 14 358383
15 20 15 1133396
16 20 16 1966826
17 20 17 2539690
18 20 18 6388541
19 20 19 10235840
20 20 20 21384737
10 50 10 20684
11 50 11 40534
12 50 12 79071
13 50 13 163222
14 50 14 319872
15 50 15 631211
16 50 16 1280601
17 50 17 2537048
18 50 18 5099777
19 50 19 10190698
20 50 20 21686495
21 50 21 42935682
22 50 22 90209562
23 50 23 180063188
24 50 24 337536409
25 50 25 724302058
26 50 26 1475168777
27 50 27 2981504053
28 50 28 5581082284
29 50 29 11262219258
30 50 30 22361482043
10 75 10 19843
11 75 11 40406
12 75 12 79944
13 75 13 158745
14 75 14 316184
15 75 15 642402
16 75 16 1305974
17 75 17 2971053
18 75 18 5083075
19 75 19 10774483
20 75 20 21703965
21 75 21 44272567
22 75 22 94977376
23 75 23 181967164
24 75 24 338947627
25 75 25 687259854
26 75 26 1425385953
27 75 27 2837520740
28 75 28 5516877524
29 75 29 11034129001
30 75 30 22011709587
10 100 10 19747
11 100 11 51481
12 100 12 79562
13 100 13 158281
14 100 14 315895
15 100 15 630607
16 100 16 1435993
17 100 17 3071669
18 100 18 8660955
19 100 19 11278147
20 100 20 21796009
21 100 21 47619138
22 100 22 83745862
23 100 23 178651682
24 100 24 361644760
25 100 25 733155224
26 100 26 1358946518
27 100 27 2782412241
28 100 28 5552468454
29 100 29 11204755181
30 100 30 22194796442
10 10 10 19795
10 20 10 19622
11 20 11 39618
12 20 12 79111
13 20 13 163920
14 20 14 315855
15 20 15 638346
16 20 16 1520125
17 20 17 2551956
18 20 18 5127122
19 20 19 10199243
20 20 20 20424246
10 50 10 20925
11 50 11 40186
12 50 12 84142
13 50 13 159295
14 50 14 315768
15 50 15 636318
16 50 16 1298968
17 50 17 2536092
18 50 18 5315589
19 50 19 10162677
20 50 20 21010737
21 50 21 41754300
22 50 22 84386561
23 50 23 171578903
24 50 24 343103609
25 50 25 679388145
26 50 26 1368647596
27 50 27 2767647022
28 50 28 5460413853
29 50 29 11141798052
30 50 30 22000662789
10 75 10 19748
11 75 11 39348
12 75 12 78749
13 75 13 180756
14 75 14 323016
15 75 15 640389
16 75 16 1288630
17 75 17 2675125
18 75 18 5396677
19 75 19 10849855
20 75 20 20680584
21 75 21 41434943
22 75 22 82835554
23 75 23 168154203
24 75 24 339979106
25 75 25 668662928
26 75 26 1329948107
27 75 27 2719265413
28 75 28 5373089130
29 75 29 10717660628
30 75 30 22546291757
10 100 10 19853
11 100 11 39389
12 100 12 78862
13 100 13 161002
14 100 14 316508
15 100 15 652452
16 100 16 1265743
17 100 17 2544309
18 100 18 5122850
19 100 19 13061082
20 100 20 22145098
21 100 21 46803582
22 100 22 91983787
23 100 23 183118574
24 100 24 380618258
25 100 25 708096219
26 100 26 1384662368
27 100 27 2873629438
28 100 28 5467876489
29 100 29 11311100507
30 100 30 22454811516
10 10 10 24321
10 20 10 24291
11 20 11 48566
12 20 12 104021
13 20 13 168146
14 20 14 315784
15 20 15 653348
16 20 16 1280459
17 20 17 2612693
18 20 18 6511750
19 20 19 11335461
20 20 20 21343857
10 50 10 19760
11 50 11 40811
12 50 12 86172
13 50 13 158164
14 50 14 335851
15 50 15 631884
16 50 16 1301021
17 50 17 2830662
18 50 18 5456381
19 50 19 10246718
20 50 20 20421054
21 50 21 42645247
22 50 22 88202816
23 50 23 172757997
24 50 24 356014411
25 50 25 694137090
26 50 26 1667240402
27 50 27 2880662748
28 50 28 5627853275
29 50 29 11726154045
30 50 30 22343099538
10 75 10 19681
11 75 11 39500
12 75 12 78803
13 75 13 157789
14 75 14 336969
15 75 15 630994
16 75 16 1326941
17 75 17 2569252
18 75 18 5189974
19 75 19 10720093
20 75 20 20488365
21 75 21 42579232
22 75 22 82875734
23 75 23 166150025
24 75 24 336220583
25 75 25 667712170
26 75 26 1384397791
27 75 27 2744911561
28 75 28 5396553670
29 75 29 10948996540
30 75 30 21734969614
10 100 10 19937
11 100 11 39414
12 100 12 78740
13 100 13 162030
14 100 14 314839
15 100 15 659692
16 100 16 1271862
17 100 17 2532281
18 100 18 5071789
19 100 19 10377405
20 100 20 21917130
21 100 21 42167663
22 100 22 89425046
23 100 23 180795710
24 100 24 372439403
25 100 25 692073124
26 100 26 1374663071
27 100 27 2690133648
28 100 28 5537929586
29 100 29 11411664550
30 100 30 21986186864
